BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
1,2,1,2020-08-18 17:24:13,8.000000,"F4805",3,5
1,2,2,2020-08-19 17:05:12,8.000000,"F3199",1,5
1,2,2,2020-08-20 17:02:22,8.000000,"F2801",1,2
1,2,4,2020-08-21 16:56:37,8.000000,"F6770",3,2
1,16,1,2020-08-14 17:18:54,5.000000,"F0000",2,3
1,16,2,2020-08-15 17:42:04,5.000000,"F0000",1,4
1,16,2,2020-08-16 17:17:02,5.000000,"F0000",1,5
1,18,1,2020-08-24 17:09:16,55.000000,"F3556",1,1
1,18,1,2020-08-28 16:52:47,55.000000,"F3871",3,4
1,21,1,2020-08-18 17:24:13,30.000000,"F4805",1,2
1,25,1,2020-08-29 17:24:18,10.000000,"F4703",2,1
1,26,2,2020-08-23 17:29:24,5.000000,"F4194",2,3
1,45,1,2020-08-29 17:24:18,10.000000,"F4703",1,2
1,51,1,2020-08-23 17:29:24,15.000000,"F4194",1,4
1,107,1,2020-08-15 17:42:04,10.000000,"F0000",2,5
1,107,1,2020-08-16 17:17:02,10.000000,"F0000",2,2
1,107,1,2020-08-19 17:05:12,10.000000,"F3199",2,5
1,123,1,2020-08-25 17:06:33,8.000000,"F4246",1,3
1,123,1,2020-08-29 17:24:18,8.000000,"F4703",3,4
1,123,4,2020-08-21 16:56:37,8.000000,"F6770",2,4
1,140,2,2020-08-11 20:02:14,26.000000,"F0000",1,2
1,155,1,2020-08-26 17:07:02,27.000000,"F3195",3,2
1,155,2,2020-08-17 17:21:06,27.000000,"F3383",2,2
1,155,3,2020-08-28 16:52:47,27.000000,"F3871",1,3
1,156,1,2020-08-11 20:02:14,30.000000,"F0000",2,3
1,156,1,2020-08-12 17:51:16,30.000000,"F0000",1,4
1,156,1,2020-08-29 17:24:18,30.000000,"F4703",4,4
1,156,2,2020-08-28 16:52:47,30.000000,"F3871",2,3
1,156,4,2020-08-17 17:21:06,30.000000,"F3383",1,5
1,159,1,2020-08-13 17:46:44,20.000000,"F0000",1,4
1,159,1,2020-08-27 17:04:59,20.000000,"F3607",1,3
1,160,1,2020-08-22 17:04:35,25.000000,"F4479",1,3
1,160,1,2020-08-26 17:07:02,25.000000,"F3195",2,3
1,160,4,2020-08-21 16:56:37,25.000000,"F6770",1,3
1,163,1,2020-08-14 17:18:54,20.000000,"F0000",1,3
1,163,1,2020-08-18 17:24:13,20.000000,"F4805",2,3
1,167,1,2020-08-27 17:04:59,10.000000,"F3607",2,5
1,168,1,2020-08-26 17:07:02,27.000000,"F3195",1,5
1,168,2,2020-08-17 17:21:06,27.000000,"F3383",3,4
1,170,6,2020-08-23 17:04:56,20.000000,"F4255",1,5
2,2,1,2020-08-18 17:24:21,8.000000,"F3600",1,3
2,2,1,2020-08-19 17:05:41,8.000000,"F2009",1,5
2,2,1,2020-08-20 17:03:31,8.000000,"F2116",1,3
2,2,3,2020-08-21 16:59:51,8.000000,"F2266",1,2
2,14,1,2020-08-25 17:06:40,10.000000,"F4263",1,4
2,15,1,2020-08-15 18:07:17,35.000000,"F0000",1,3
2,15,1,2020-08-17 17:22:15,35.000000,"F3383",1,1
2,15,1,2020-08-22 17:06:55,35.000000,"F3031",1,2
2,15,1,2020-08-28 16:56:13,35.000000,"F3290",1,3
2,16,1,2020-08-15 18:07:17,5.000000,"F0000",2,5
2,26,2,2020-08-26 17:07:54,5.000000,"F2126",1,2
2,45,1,2020-08-29 17:24:23,10.000000,"F4374",1,3
2,51,1,2020-08-23 17:29:41,15.000000,"F4233",1,4
2,107,1,2020-08-11 20:24:10,10.000000,"F0000",1,4
2,107,1,2020-08-14 17:19:26,10.000000,"F0000",1,3
2,107,1,2020-08-23 17:06:01,10.000000,"F4586",1,2
2,107,1,2020-08-24 17:09:22,10.000000,"F3787",1,5
2,107,1,2020-08-28 16:56:13,10.000000,"F3290",2,3
2,123,1,2020-08-18 17:24:21,8.000000,"F3600",2,4
2,123,1,2020-08-20 17:03:31,8.000000,"F2116",2,2
2,123,1,2020-08-29 17:24:23,8.000000,"F4374",2,3
2,158,7,2020-08-12 18:35:03,14.000000,"F0000",1,3
2,159,1,2020-08-13 17:47:41,20.000000,"F3142",1,1
2,159,1,2020-08-27 17:05:02,20.000000,"F3768",1,3
2,159,4,2020-08-16 18:28:07,20.000000,"F0000",1,4
2,163,1,2020-08-18 17:24:21,20.000000,"F3600",3,5
3,2,1,2020-08-18 17:24:40,8.000000,"F2423",1,4
3,2,1,2020-08-21 17:06:11,8.000000,"F2009",1,2
3,2,2,2020-08-19 17:06:04,8.000000,"F3199",1,5
3,15,1,2020-08-12 18:38:00,35.000000,"F0000",1,2
3,16,2,2020-08-12 18:38:00,5.000000,"F0000",2,5
3,16,2,2020-08-13 17:48:51,5.000000,"F0000",1,1
3,16,2,2020-08-14 18:33:07,5.000000,"F0000",1,1
3,26,1,2020-08-29 17:24:30,5.000000,"F4556",3,5
3,45,1,2020-08-29 17:24:30,10.000000,"F4556",2,5
3,46,1,2020-08-18 17:24:40,18.000000,"F2423",2,1
3,107,1,2020-08-15 18:33:55,10.000000,"F0000",1,3
3,107,1,2020-08-17 17:22:27,10.000000,"F3383",1,5
3,107,1,2020-08-23 17:29:45,10.000000,"F3178",1,1
3,107,2,2020-08-12 18:38:00,10.000000,"F0000",3,4
3,108,1,2020-08-20 17:16:33,20.000000,"F3543",1,4
3,123,1,2020-08-21 17:06:11,8.000000,"F2009",2,3
3,123,1,2020-08-25 17:07:06,8.000000,"F4268",1,4
3,123,1,2020-08-29 17:24:30,8.000000,"F4556",1,1
3,123,2,2020-08-23 17:06:30,8.000000,"F2451",1,2
3,140,1,2020-08-11 20:28:08,26.000000,"F0000",1,1
3,155,1,2020-08-16 18:31:02,27.000000,"F0000",1,4
3,155,1,2020-08-26 17:08:01,27.000000,"F2126",1,2
3,155,1,2020-08-27 17:06:28,27.000000,"F3787",1,2
3,156,1,2020-08-25 17:07:06,30.000000,"F4268",2,5
3,159,1,2020-08-17 17:22:27,20.000000,"F3383",2,2
3,159,1,2020-08-22 17:08:43,20.000000,"F3340",1,3
3,167,1,2020-08-18 17:24:40,10.000000,"F2423",3,1
3,169,3,2020-08-28 16:56:30,25.000000,"F2296",1,1
4,2,1,2020-08-18 17:24:50,8.000000,"F4437",1,3
4,2,1,2020-08-19 17:12:32,8.000000,"F3138",1,3
4,2,1,2020-08-22 17:17:09,8.000000,"F3493",1,3
4,2,2,2020-08-20 17:20:34,8.000000,"F3859",1,4
