"('F4891', 2)","['2', '163', '169']"
"('F3172', 3)","['128', '129', '171']"
"('F4600', 3)","['128', '134']"
"('F3573', 3)","['155', '138']"
"('F3412', 5)","['128', '155']"
"('F2451', 8)","['108', '135']"
"('F6725', 7)","['18', '128']"
"('F2399', 8)","['123', '155', '155']"
"('F2548', 6)","['51', '128']"
"('F2528', 14)",['123']
"('F1346', 1)",['163']
"('F1332', 1)",['155']
"('F4246', 17)","['134', '129']"
"('F4706', 8)","['154', '124']"
"('F3870', 1)",['156']
"('F2922', 4)",['155']
"('F3816', 1)","['107', '154']"
"('F3440', 7)","['14', '132']"
"('F2206', 1)","['12', '128', '135', '154', '12', '156', '16', '156']"
"('F4147', 11)","['107', '123']"
"('F4623', 4)",['21']
"('F2529', 4)","['123', '128', '154']"
"('F1341', 2)",['148']
"('F3842', 1)","['51', '130']"
"('F2143', 2)","['146', '148', '151', '151', '164', '155']"
"('F3832', 4)","['154', '169']"
"('F4553', 1)","['124', '154', '151', '164', '151', '164']"
"('F2054', 2)","['154', '170', '154']"
"('F1237', 3)","['162', '162', '107', '170']"
"('F3579', 7)",['134']
"('F2749', 6)",['154']
"('F3188', 1)",['134']
"('F3881', 2)","['2', '21', '124', '107', '107', '154', '154']"
"('F5466', 6)",['155']
"('F3493', 5)",['14']
"('F2125', 1)","['2', '130', '134', '154', '12', '154', '156', '163']"
"('F4542', 1)","['151', '156', '163', '157']"
"('F3689', 3)","['140', '169', '107', '161']"
"('F3504', 5)","['108', '151', '155']"
"('F2087', 2)",['12']
"('F3492', 1)","['128', '154', '134']"
"('F3527', 12)","['107', '154', '155']"
"('F2833', 1)",['161']
"('F4668', 3)","['135', '138']"
"('F4457', 4)",['128']
"('F2803', 1)",['130']
"('F3569', 6)",['156']
"('F4140', 1)",['140']
"('F2732', 3)",['134']
"('F4300', 7)",['138']
"('F4788', 8)","['138', '155']"
"('F4717', 2)",['140']
"('F2656', 2)","['130', '134', '123']"
"('F4778', 4)","['128', '159']"
"('F2104', 7)","['136', '169']"
"('F3884', 11)",['128']
"('F2753', 2)",['12']
"('F3332', 1)","['128', '128', '154']"
"('F2171', 9)","['134', '167', '168', '132', '154', '129', '169']"
"('F3190', 5)","['146', '151', '155']"
"('F4500', 4)",['154']
"('F2503', 7)","['12', '124', '151', '170']"
"('F4140', 6)","['124', '154']"
"('F2828', 5)","['46', '161', '161']"
"('F4775', 11)","['107', '155']"
"('F3203', 2)","['148', '159']"
"('F2416', 7)",['74']
"('F4104', 6)","['14', '15', '45', '107', '15', '15', '124', '124', '154', '160', '51', '154', '154']"
"('F2140', 5)",['154']
"('F2625', 3)","['12', '161']"
"('F3529', 3)",['154']
"('F2018', 9)","['157', '167']"
"('F4762', 1)","['123', '130', '159']"
"('F2453', 1)","['129', '154']"
"('F2788', 4)","['148', '159', '129']"
"('F3219', 10)","['129', '132', '170']"
"('F4586', 12)","['124', '129']"
"('F2405', 5)","['19', '107', '160', '19', '156', '140']"
"('F3447', 7)","['128', '107', '128']"
"('F2074', 6)","['151', '164', '169']"
"('F4081', 4)",['124']
"('F3005', 7)","['124', '169']"
"('F4321', 5)","['134', '146', '151', '155']"
"('H2252', 2)","['123', '124', '135', '154']"
"('F3674', 8)",['138']
