"('F2935', 4)","['124', '154']"
"('F2585', 9)","['107', '123', '2']"
"('F3339', 12)","['138', '178', '76', '20']"
"('F1696', 7)",['12']
"('F1207', 2)",['2']
"('F4605', 7)",['141']
"('F1381', 4)","['151', '164', '142']"
"('F2067', 9)",['124']
"('F2565', 10)","['2', '123']"
"('F4409', 1)","['132', '169', '170']"
"('F4266', 17)","['140', '93', '107', '160']"
"('F3355', 1)","['135', '139', '154']"
"('H1029', 7)","['146', '151', '76', '130']"
"('F1598', 8)","['128', '138', '138']"
"('F3604', 13)","['141', '141']"
"('F3718', 11)","['142', '177', '142', '170']"
"('F1137', 21)","['168', '188', '170']"
"('F2581', 9)",['138']
"('F2425', 20)","['128', '154', '21', '167', '185']"
"('F3865', 9)","['128', '107']"
"('F2548', 9)","['124', '138', '124']"
"('F1509', 4)",['76']
"('F4660', 5)","['151', '164', '129', '169']"
"('F1860', 3)","['124', '154', '134']"
"('F2546', 16)","['188', '107']"
"('F2095', 9)","['138', '146', '151']"
"('F1237', 3)","['130', '134', '193', '1']"
"('F3347', 4)",['130']
"('F1730', 4)",['154']
"('F2503', 21)","['134', '178']"
"('F3758', 13)",['2']
"('F1978', 1)","['12', '139']"
"('F2316', 12)",['128']
"('F2140', 24)",['154']
"('F2257', 6)",['130']
"('F2570', 5)",['134']
"('F3473', 11)","['12', '20']"
"('F4125', 3)","['107', '170']"
"('F3863', 5)","['1', '124', '76']"
"('F2195', 7)","['18', '107']"
"('F3175', 20)",['169']
"('F3798', 1)","['12', '138']"
"('F4010', 4)","['107', '128']"
"('F3892', 1)","['178', '22', '76']"
"('F3543', 16)","['138', '132', '154']"
"('F1742', 10)","['108', '108', '108', '15', '169']"
"('F4124', 3)",['134']
"('F4349', 6)","['151', '164']"
"('F4493', 2)","['76', '123', '175']"
"('F1287', 1)","['128', '130', '134', '138', '140', '128', '134']"
"('F1312', 7)","['134', '142']"
"('F1412', 2)","['138', '129']"
"('F1020', 10)",['138']
"('F3102', 8)","['128', '134']"
"('F3190', 11)",['142']
"('F2347', 6)",['134']
"('F4756', 1)","['2', '123', '107']"
"('F3404', 5)","['146', '151', '187']"
"('F3626', 9)","['138', '154']"
"('F1735', 4)","['132', '134']"
"('F5744', 4)",['139']
"('F2551', 7)",['138']
"('F2734', 19)",['107']
"('F2617', 15)","['2', '2', '188', '188', '107', '18', '22']"
"('F1806', 4)",['139']
"('F2052', 44)",['154']
"('F2709', 8)","['135', '195']"
"('F3652', 11)","['128', '1', '167']"
"('F3696', 4)",['107']
"('F2416', 14)","['124', '151', '20', '25']"
"('F2777', 4)","['131', '128']"
"('F2309', 7)",['1']
"('F3452', 3)","['146', '151', '128']"
"('F2391', 24)","['2', '123', '2']"
"('F3519', 3)","['134', '130']"
"('F3764', 10)","['151', '164', '76']"
"('F2375', 27)","['93', '139', '141', '142', '154', '93', '141', '177']"
"('F1631', 2)",['133']
"('F2586', 8)","['2', '107', '93']"
"('F1325', 5)","['2', '123', '188']"
"('F4590', 3)",['142']
"('F3249', 8)","['107', '128', '107']"
"('F2716', 8)",['193']
"('F3554', 3)","['151', '164']"
"('F2345', 31)","['2', '26', '26']"
"('H1018', 6)","['146', '151', '151']"
"('F3644', 8)","['15', '25']"
"('F2185', 2)",['164']
"('F1788', 3)","['142', '48']"
"('F4763', 11)",['2']
"('F2004', 7)",['128']
"('F2795', 11)","['135', '128']"
"('F1868', 4)",['154']
"('F3485', 13)","['107', '128']"
"('F3570', 9)","['146', '151']"
"('F3243', 1)",['171']
"('F4618', 15)",['151']
"('F2682', 4)","['130', '134', '151', '164', '76', '132', '154', '169', '169']"
"('F4860', 3)",['130']
"('F1482', 4)","['124', '151']"
"('F1507', 4)","['130', '151', '164', '151', '169', '19', '15']"
"('F3815', 8)","['140', '193']"
"('F2206', 1)","['151', '166']"
"('F3121', 2)",['128']
"('F3765', 6)",['170']
"('H1117', 4)","['128', '154']"
"('F2738', 8)","['1', '123']"
"('F1156', 2)","['124', '134']"
"('F3852', 10)","['128', '128', '169', '139', '107', '107']"
"('F4448', 2)","['140', '169']"
"('F1610', 1)",['25']
"('F2037', 5)",['141']
"('F2689', 1)",['2']
"('F3795', 6)",['15']
"('F3222', 3)","['128', '130']"
"('F2156', 4)","['128', '135', '128']"
"('F4642', 3)","['128', '130']"
"('F4788', 1)","['107', '124', '138']"
"('F1146', 3)","['132', '154']"
"('F3596', 2)",['123']
"('F1444', 1)","['128', '169', '171']"
"('F3095', 10)","['135', '139', '170']"
"('F1019', 11)","['134', '154']"
"('F3822', 11)","['128', '154', '135', '154']"
"('F3461', 6)","['128', '128', '93']"
"('F4672', 2)",['139']
"('F5472', 4)",['128']
"('F4296', 32)","['123', '188', '170']"
"('F2082', 5)","['76', '124']"
"('F4770', 3)","['164', '100']"
"('F3682', 1)","['142', '1', '1']"
"('F3883', 5)","['154', '169']"
"('F2513', 4)","['142', '154', '134']"
"('F1214', 2)","['186', '193']"
"('F2198', 1)","['108', '172']"
"('F3247', 18)","['142', '178']"
"('F3760', 7)","['128', '129', '138', '138', '154']"
"('F1130', 1)","['141', '141', '156', '142']"
"('F3080', 2)","['134', '135']"
"('F5165', 19)","['142', '198']"
"('F1246', 1)",['134']
"('F0000', 41)","['2', '2', '188']"
"('F4177', 8)",['134']
"('F4214', 5)","['135', '124']"
"('F3871', 19)","['108', '20', '108']"
"('F4296', 28)","['142', '76', '21']"
"('F4531', 10)",['129']
"('F3623', 8)",['134']
"('F2802', 1)",['128']
"('F1385', 10)",['130']
"('F3759', 6)","['188', '170']"
"('F2007', 2)","['193', '130']"
"('F2626', 7)",['128']
"('F5539', 1)","['48', '160', '160']"
"('F2351', 7)","['124', '164']"
"('F3339', 4)",['76']
"('F2694', 4)","['151', '164']"
"('F4377', 9)","['18', '154', '195']"
"('F2346', 21)",['141']
"('F2269', 13)","['2', '107', '193']"
"('F3292', 3)","['128', '146', '25', '26']"
"('F1280', 8)","['138', '154', '22']"
"('F2567', 6)",['129']
"('F4036', 5)",['134']
"('F4225', 4)","['129', '133', '134']"
"('F2797', 1)",['128']
"('F1322', 2)","['142', '138', '76']"
"('H1116', 3)","['128', '154']"
"('F2684', 14)",['107']
"('F3454', 2)","['146', '151']"
"('H1105', 3)","['142', '178']"
"('H1086', 2)",['1']
"('F2250', 8)",['128']
"('F2639', 7)","['107', '138', '168']"
"('F3586', 1)","['142', '177']"
"('F2919', 2)","['130', '169']"
"('F2179', 7)","['146', '151']"
"('F1027', 1)",['156']
"('F2518', 9)",['93']
"('F4489', 6)",['130']
"('F3787', 21)","['76', '160']"
"('F3634', 23)","['107', '128', '138', '15', '196']"
"('F2693', 20)","['142', '154', '141']"
"('F1274', 8)","['124', '193']"
"('F2154', 12)","['130', '76', '128']"
"('F3695', 4)","['138', '138']"
"('F3886', 7)","['146', '151', '76']"
"('F2766', 1)","['146', '154', '154']"
"('F3136', 7)","['76', '148']"
"('F3600', 3)",['2']
"('F3290', 8)",['76']
"('F3035', 1)",['134']
"('F2159', 13)","['188', '170']"
"('F2852', 2)","['128', '128']"
"('F4304', 1)","['151', '164']"
"('F3279', 4)",['134']
"('F3805', 10)","['151', '164']"
"('F3318', 2)","['134', '21']"
"('F2466', 2)","['134', '48']"
"('F4696', 1)","['12', '129', '193']"
"('F2383', 3)","['128', '154']"
"('F1856', 3)",['132']
"('H2222', 5)","['128', '1']"
"('F1514', 4)","['164', '151', '76']"
"('F1977', 2)","['146', '151', '177', '154']"
"('F3302', 3)",['178']
"('F3233', 9)",['134']
"('F2116', 14)","['134', '107', '128']"
"('F1775', 3)",['130']
"('F4702', 4)","['130', '132']"
"('F4277', 6)","['164', '107']"
"('F2456', 28)","['138', '141']"
"('F3270', 18)","['146', '151', '15', '154']"
"('F4243', 1)","['123', '188', '123']"
"('F3816', 4)",['154']
"('F2696', 8)",['134']
"('F2318', 12)","['146', '151', '76', '128']"
"('F4530', 10)",['20']
"('F2201', 6)",['131']
"('F3059', 1)","['128', '188', '134', '193']"
"('F2805', 2)",['128']
"('F2307', 5)","['124', '160', '169']"
"('H1006', 4)","['12', '194']"
"('F4364', 1)","['124', '134', '14']"
"('H2144', 10)","['124', '124', '124', '130']"
"('F2377', 42)","['177', '76']"
"('F1130', 8)","['108', '129', '130']"
"('F2313', 2)","['76', '130', '165', '169']"
"('F2544', 16)","['128', '12', '154']"
"('F1089', 6)",['14']
"('F2529', 7)","['25', '100']"
"('F5165', 10)",['2']
"('F2412', 4)","['2', '123', '76', '169', '169', '107']"
"('F3272', 10)","['151', '164', '15', '93', '21']"
"('F3859', 10)","['142', '146', '151', '1']"
"('F4308', 6)",['134']
"('F4185', 9)","['107', '128', '138']"
"('F1620', 6)","['151', '169']"
"('F3223', 5)",['2']
"('F4054', 10)",['188']
"('F4668', 5)",['2']
"('F2140', 32)","['170', '178', '22']"
"('F2454', 6)",['26']
"('F4804', 3)","['146', '151', '134']"
"('F3867', 7)",['134']
"('F1726', 4)","['142', '186', '135', '170']"
"('F3277', 5)",['193']
"('F4367', 6)","['130', '124', '169']"
"('F3572', 6)",['76']
"('F3601', 3)","['146', '151', '93']"
"('F2774', 14)","['151', '164', '26']"
"('F2788', 5)","['14', '76', '134']"
"('F2602', 17)","['2', '107', '107']"
"('F2645', 11)","['134', '14']"
"('F4459', 9)","['76', '151', '154', '164', '134', '132', '15', '93', '171']"
"('F2924', 30)","['50', '154']"
"('F2462', 10)","['15', '154', '129', '20', '76', '154', '128', '154', '20', '107', '128', '130', '15', '93', '154']"
"('F2022', 1)",['25']
"('F2719', 10)","['107', '193']"
"('F2105', 3)","['107', '141', '130']"
"('F2828', 7)","['138', '154']"
"('F4774', 2)",['2']
"('F2903', 37)","['151', '164', '138']"
"('F2951', 1)","['164', '76']"
"('F4521', 4)",['1']
"('F2380', 2)","['107', '124']"
"('F4386', 9)","['128', '135', '48']"
"('F5796', 1)","['128', '128', '146', '151', '151']"
"('F4123', 5)","['130', '154', '128']"
"('F2506', 1)",['128']
"('F2275', 5)","['124', '177', '107']"
"('F1747', 5)",['12']
"('F2039', 1)",['134']
"('F3813', 7)","['130', '134']"
"('F2276', 5)","['124', '130']"
"('H1288', 1)","['146', '151', '154']"
"('F1682', 5)","['140', '76']"
"('F2964', 2)",['151']
"('F3111', 4)","['130', '1']"
"('F3168', 7)","['132', '134', '15']"
"('F3881', 15)","['134', '21', '130', '25']"
"('F3857', 7)",['76']
"('F4399', 15)","['123', '169']"
"('F3201', 6)","['51', '128']"
"('F3144', 1)",['134']
"('F1681', 1)",['130']
"('F3876', 1)","['151', '177']"
"('F3707', 1)","['146', '151']"
"('F3512', 8)","['134', '134']"
"('F4761', 4)","['130', '135', '128']"
"('F1463', 3)","['2', '25']"
"('F4564', 6)","['140', '128']"
"('H2029', 1)",['146']
"('F1638', 1)","['134', '128']"
"('F2207', 7)","['141', '134']"
"('F1487', 6)",['154']
"('F4429', 5)","['133', '134', '167', '50']"
"('F1157', 4)","['164', '154']"
"('F3008', 1)",['139']
"('F4374', 26)","['146', '151', '194']"
"('F4772', 2)",['107']
"('F1273', 6)","['124', '135', '124']"
"('F2499', 5)",['154']
"('F2528', 4)",['130']
"('F4607', 3)",['135']
"('F3768', 1)",['139']
"('F2693', 9)","['1', '148']"
"('F2078', 16)",['21']
"('F3096', 7)","['151', '164', '15', '48', '100', '169']"
"('F3692', 1)","['15', '130', '188']"
"('F2699', 8)","['146', '151', '193']"
"('F4233', 14)","['151', '164', '76']"
"('F3081', 3)","['26', '107']"
"('F2127', 5)","['134', '142']"
"('F3244', 6)",['134']
"('F4230', 11)","['169', '188', '76', '188']"
"('F4599', 5)",['134']
"('F4266', 10)","['188', '107', '123', '100', '107']"
"('F1294', 8)",['124']
"('F3061', 6)","['128', '142', '140', '128']"
"('F2500', 8)","['138', '134', '129']"
"('F2468', 9)",['51']
"('F1834', 5)",['134']
"('F2453', 17)","['15', '93', '107', '169', '188', '76', '169', '188', '93', '18']"
"('H2053', 4)","['128', '107', '160', '190', '160']"
"('F3698', 8)",['134']
"('F4479', 6)",['154']
"('F3485', 20)",['170']
"('F1531', 3)",['128']
"('F1215', 1)","['123', '123']"
"('F3871', 13)","['12', '18', '128', '134', '146', '151', '76']"
"('F4438', 2)","['130', '139']"
"('F4671', 4)","['1', '107']"
"('F3183', 10)","['128', '129', '76', '129']"
"('F5428', 5)","['128', '131', '107', '107', '19']"
"('F3622', 6)",['160']
"('F4306', 4)",['124']
"('F2238', 9)",['2']
"('F4639', 4)",['76']
"('F1331', 1)","['151', '164']"
"('F4558', 2)",['178']
"('F2231', 5)","['160', '168', '169']"
"('F3108', 6)","['134', '140']"
"('F4356', 5)","['124', '107']"
"('F3550', 3)","['128', '195']"
"('H2056', 2)","['142', '146', '151']"
"('F2036', 3)","['2', '123']"
"('F4122', 7)",['146']
"('F0000', 113)","['15', '22', '128', '135', '130', '107', '107', '176', '12', '139', '22', '76', '76', '93', '134', '130', '130', '26', '134', '130', '107', '198', '107', '154', '134', '134', '142', '26', '142', '132']"
"('H2184', 1)","['130', '135', '146', '151', '25', '130', '15', '20', '108']"
"('F2783', 18)",['124']
"('F3232', 3)",['186']
"('F2052', 1)",['170']
"('F4090', 6)","['128', '168', '138']"
"('F1831', 5)",['139']
"('F2810', 5)",['1']
"('F1345', 2)","['123', '193']"
"('F2661', 3)","['50', '107', '169']"
"('F4128', 13)",['128']
"('F2223', 1)",['138']
"('F2727', 2)","['1', '1', '128']"
"('F1001', 2)",['76']
"('F4479', 16)",['76']
"('F3589', 2)","['134', '142', '140', '154']"
"('F2757', 11)","['128', '20', '138']"
"('F2585', 13)","['12', '128']"
"('F2750', 3)","['2', '123']"
"('F2184', 1)","['128', '129', '154', '128']"
"('F2052', 11)","['134', '21', '154']"
"('F1142', 2)","['146', '151']"
"('F4499', 2)","['128', '135']"
"('F2260', 13)",['12']
"('F4600', 7)","['128', '139']"
"('F2979', 1)","['20', '26', '107']"
"('F1421', 2)",['130']
"('F1745', 5)","['22', '138', '22']"
"('F2525', 4)",['130']
"('F3299', 4)","['18', '142']"
"('F2405', 3)","['142', '100']"
"('F5901', 2)","['130', '154']"
"('F3320', 2)",['1']
"('F2391', 3)","['134', '128']"
"('F5634', 2)","['139', '25', '154']"
"('F4580', 3)",['170']
"('F4340', 4)","['2', '76', '123', '76']"
