"('F2364', 11)","['128', '140', '169']"
"('F3359', 8)","['134', '154', '128']"
"('F2537', 14)","['140', '154']"
"('F3199', 11)","['22', '181']"
"('F2600', 2)",['128']
"('F2413', 31)",['154']
"('F1265', 10)","['128', '141', '169', '154']"
"('F2581', 21)",['155']
"('F3525', 35)","['18', '22', '15', '22', '2', '94', '94', '108', '173', '94', '100', '100', '173', '175']"
"('F2783', 9)","['2', '192', '25']"
"('F3598', 2)","['141', '154', '190']"
"('F3687', 1)",['134']
"('F1310', 1)",['1']
"('F2676', 9)","['134', '156']"
"('F4716', 1)","['129', '129']"
"('H1140', 3)",['130']
"('F4435', 10)","['130', '154']"
"('F2944', 6)","['93', '130']"
"('F1346', 15)","['151', '164', '169']"
"('F3835', 10)","['134', '142']"
"('F3651', 9)","['132', '173', '191']"
"('H2028', 2)",['151']
"('F3156', 18)","['142', '154']"
"('F2274', 6)",['134']
"('F1260', 8)","['128', '154', '128']"
"('F2423', 10)","['141', '169', '128']"
"('F2007', 13)",['159']
"('F3380', 9)",['14']
"('F2103', 2)",['169']
"('F3523', 4)",['128']
"('F3391', 18)",['76']
"('F3545', 4)",['156']
"('F1810', 11)",['169']
"('H1092', 4)","['142', '155']"
"('F2433', 10)",['18']
"('F3024', 1)","['26', '134']"
"('F2315', 5)",['2']
"('F2770', 12)","['134', '128']"
"('F4689', 5)","['132', '169', '187']"
"('F1566', 10)","['134', '21']"
"('F1622', 2)","['128', '169']"
"('F1369', 3)",['134']
"('F1029', 7)","['151', '155']"
"('F1671', 1)",['129']
"('F2698', 19)","['154', '154']"
"('F4284', 6)","['1', '129', '154']"
"('F1221', 2)","['154', '156']"
"('F2908', 3)","['100', '172', '188']"
"('H1276', 1)","['151', '164']"
"('F2029', 14)","['2', '123', '155']"
"('F2501', 21)","['48', '175', '76']"
"('F4277', 3)",['164']
"('F4623', 9)","['154', '159']"
"('F3728', 1)","['76', '128', '128', '142']"
"('F3158', 2)","['128', '128', '22']"
"('F5672', 13)","['129', '154', '18', '108', '154', '169', '18']"
"('F1479', 11)",['93']
"('F1092', 3)",['173']
"('F3220', 13)",['76']
"('F3833', 5)","['76', '130', '133', '18', '22']"
"('F2193', 19)","['128', '130', '76']"
"('F4371', 8)",['156']
"('F2221', 4)","['142', '154']"
"('F2327', 7)","['74', '169']"
"('F2591', 4)",['76']
"('H1020', 3)",['128']
"('F5428', 5)","['142', '148', '151', '142']"
"('F3467', 12)","['134', '154']"
"('F3713', 14)",['155']
"('F2587', 2)","['154', '138', '142']"
"('F2406', 8)","['130', '135', '154']"
