8,417,['5']
3,405,['1']
3,649,['2']
5,1657,['3']
2,202,"['2', '2', '2', '1', '1']"
1,867,"['1', '1', '2', '2', '1', '2', '1', '1', '1', '1', '1', '2', '1']"
1,767,"['1', '2', '3', '4', '1', '2', '1', '1', '1', '2', '1', '1', '2', '1', '2', '3', '1', '1', '1', '1', '1']"
1,727,"['1', '2', '1', '1', '1', '1', '2', '1', '4', '2', '1', '1']"
1,1058,"['1', '2', '3', '4', '5', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
3,1387,"['1', '1']"
2,1838,"['1', '1']"
2,785,"['1', '2', '3', '2', '2']"
2,354,"['2', '1', '2', '2', '1']"
5,1362,"['1', '2']"
4,170,['1']
3,347,"['1', '1', '2', '2']"
3,855,['1']
1,2155,"['1', '1', '1']"
2,371,"['1', '2', '3', '1', '2', '2', '1', '3', '1']"
1,1792,"['1', '1', '2', '1', '1', '1', '1', '1', '1']"
3,792,['1']
2,1811,"['3', '1']"
7,131,['1']
2,1523,['1']
2,170,"['1', '1', '1', '1', '1']"
2,938,"['1', '1', '1', '1']"
6,303,"['2', '1']"
2,2087,['1']
1,190,"['1', '1', '2', '1', '2', '3', '1', '1', '2', '1', '1', '1', '2', '3', '1']"
3,168,['1']
1,1350,"['1', '1', '1', '1', '1', '1', '2', '1', '1', '2', '1', '1', '2', '1', '1']"
1,2314,['1']
2,113,"['1', '2', '1', '2', '1', '1', '3', '1', '1', '2', '3']"
4,261,"['2', '1']"
4,321,['3']
2,982,"['1', '1']"
3,1154,['2']
4,1414,['2']
1,690,"['1', '1', '1', '1', '1', '1', '1', '2', '3', '1', '2', '3', '1', '1', '2', '1', '2', '1', '3']"
3,1473,['2']
2,1721,['2']
1,847,"['1', '1', '1', '1', '1', '1', '2', '3', '1', '2', '1', '1', '1', '1', '1', '2']"
2,1274,"['1', '1']"
2,1440,['5']
1,2244,"['1', '1']"
4,722,['1']
2,1930,"['1', '2']"
1,2129,"['1', '2', '1']"
1,1374,"['1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1']"
1,718,"['1', '1', '2', '1', '1', '1', '1', '2', '1', '1', '2', '3', '1', '1', '1', '1', '2', '1']"
1,1188,"['1', '1', '2', '3', '1', '1', '1', '1', '1', '2', '1', '1', '2', '1', '1', '2', '1']"
1,18,"['2', '1', '2', '1', '1', '1', '1', '1', '2']"
1,1041,"['1', '1', '1', '2', '1', '1', '2', '1', '2', '1', '1', '1', '2', '1', '1', '1']"
1,2356,"['1', '2']"
2,129,"['1', '1', '2', '1', '2']"
3,1528,['1']
6,755,['1']
2,32,"['2', '3', '1', '1', '1', '1', '1']"
2,1828,"['1', '1', '1']"
2,692,"['2', '1']"
1,941,"['1', '1', '1', '2', '2', '1', '1', '1', '2', '1', '2', '1']"
1,652,"['1', '2', '1', '1', '2', '2', '1', '1', '2', '1', '1', '1', '3', '4']"
1,809,"['1', '1', '3', '1', '2', '1', '1', '2', '1', '1', '2', '1', '1', '1', '1']"
1,1257,"['1', '1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '2', '1', '2', '1', '2', '1']"
1,1826,"['1', '2', '1', '1', '1', '1', '2', '2', '3', '1', '1', '1', '1', '1', '2', '1']"
1,1447,"['1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '1', '2', '3', '1', '1']"
1,1077,"['1', '1', '1', '1', '2', '1', '2', '1', '2', '2', '2', '1', '1']"
11,1729,['1']
2,52,"['1', '1', '1', '2', '2', '1', '1', '1']"
1,219,"['1', '1', '2', '2', '1', '1', '2', '1', '2', '1', '1', '1']"
2,1328,['1']
1,1330,"['1', '1', '2', '3', '1', '1', '1', '2', '1', '1', '1', '1', '2', '1', '1', '1', '2']"
